Paper No.,Citation,Photocatalyst type,Photocatalyst category,Membrane materials,Membrane type,PPCPs,logP,MW,SMILES,Original concentration (mg/L),pH,Dark time,Light time,Light frequency,Hybrid methods,Removal efficiency (%),Removal efficiency
2,"Oliveira et al., 2022","TiO2, GO",Single + 2D,PSF,MF,LOR,5.2,382.9,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,0.001,6,0,90,UV,self-assembly,50,0.5
2,"Oliveira et al., 2022","TiO2, GO",Single + 2D,PSF,MF,PRE,1.46,358.4,CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C,0.001,6,0,90,UV,self-assembly,60,0.6
2,"Oliveira et al., 2022","TiO2, GO",Single + 2D,PSF,MF,FEN,5.2,360.8,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,0.001,6,0,90,UV,self-assembly,85.5,0.855
2,"Oliveira et al., 2022","TiO2, GO",Single + 2D,PSF,MF,BET,1.94,392.5,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,0.001,6,0,90,UV,self-assembly,88,0.88
2,"Oliveira et al., 2022","TiO2, GO",Single + 2D,PSF,MF,KET,3.12,254.28,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,0.001,6,0,90,UV,self-assembly,93,0.93
4,"Li et al., 2022","g-C3N4, QDs, Ag",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,10,3,30,240,visible,vacuum filtration,65,0.65
4,"Li et al., 2022","g-C3N4, QDs, Ag",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,10,5,30,240,visible,vacuum filtration,80,0.8
4,"Li et al., 2022","g-C3N4, QDs, Ag",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,10,7,30,240,visible,vacuum filtration,100,1
4,"Li et al., 2022","g-C3N4, QDs, Ag",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,10,9,30,180,visible,vacuum filtration,100,1
4,"Li et al., 2022","g-C3N4, QDs, Ag",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,10,11,30,240,visible,vacuum filtration,100,1
4,"Li et al., 2022","g-C3N4, QDs, Ag",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,10,13,30,240,visible,vacuum filtration,98,0.98
5,"Singh et al., 2020","TiO2, HAP",Single,PSF,NF,CAP,1.14,323.13,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],50,7,0,120,UV,phase inversion,61.6,0.616
7,"Cui et al., 2021","Fe3O4, TiO2",Heterojunction,PVDF,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,7,0,180,visible,phase inversion,69.8,0.698
8,"Sanches et al., 2016",TiO2,Single,Ceramics,UF,diuron,2.68,233.09,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,1,7,0,180,UV,sol-gel,75,0.75
